,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Tsiroanomandidy,MG,-18.77,46.03,59.5,79,0,2.8,clear sky,0.0,0.0
1,Nikolskoye,RU,59.7,30.79,62.6,72,40,5.08,thunderstorm,0.0,0.0
2,Dzerzhinskoye,RU,56.83,95.23,68.77,75,98,1.92,overcast clouds,0.0,0.0
3,Vieste,IT,41.88,16.18,75.0,68,20,5.82,few clouds,0.0,0.0
4,Kormilovka,RU,55.0,74.1,51.8,93,75,15.66,light intensity shower rain,0.0,0.0
5,Inhambane,MZ,-23.86,35.38,67.95,71,0,11.72,clear sky,0.0,0.0
6,Hobart,AU,-42.88,147.33,41.0,86,20,6.93,few clouds,0.0,0.0
7,Hofn,IS,64.25,-15.21,54.27,84,100,15.73,overcast clouds,0.0,0.0
8,Thompson,CA,55.74,-97.86,62.6,93,90,2.24,light intensity shower rain,0.0,0.0
9,Atuona,PF,-9.8,-139.03,80.44,74,32,10.54,scattered clouds,0.0,0.0
10,Port Alfred,ZA,-33.59,26.89,61.47,65,88,29.15,light rain,0.25,0.0
11,Kahului,US,20.89,-156.47,87.8,55,20,20.8,few clouds,0.0,0.0
12,Cape Town,ZA,-33.93,18.42,57.99,76,40,5.82,light rain,0.51,0.0
13,Saskylakh,RU,71.92,114.08,57.27,54,49,5.5,scattered clouds,0.0,0.0
14,Albany,US,42.6,-73.97,69.01,84,100,1.7,overcast clouds,0.0,0.0
15,Rikitea,PF,-23.12,-134.97,70.25,74,5,18.81,clear sky,0.0,0.0
16,Parana,AR,-31.73,-60.52,52.0,65,70,3.62,broken clouds,0.0,0.0
17,Bredasdorp,ZA,-34.53,20.04,57.2,71,61,14.99,broken clouds,0.0,0.0
18,Narsaq,GL,60.92,-46.05,50.0,61,63,11.41,broken clouds,0.0,0.0
19,Puerto Ayora,EC,-0.74,-90.35,71.01,89,58,4.0,broken clouds,0.0,0.0
20,Mataura,NZ,-46.19,168.86,43.77,93,100,2.3,light rain,0.23,0.0
21,Pangody,RU,65.85,74.49,49.51,73,92,3.83,overcast clouds,0.0,0.0
22,Gat,IL,31.61,34.76,72.0,90,0,1.3,clear sky,0.0,0.0
23,Yellowknife,CA,62.46,-114.35,72.0,52,75,6.93,broken clouds,0.0,0.0
24,Rancho Palos Verdes,US,33.74,-118.39,73.0,68,20,17.22,few clouds,0.0,0.0
25,Bluff,NZ,-46.6,168.33,49.32,95,100,10.76,light rain,0.18,0.0
26,Ponta Do Sol,PT,32.67,-17.1,71.6,73,20,13.87,few clouds,0.0,0.0
27,Obo,CF,5.4,26.49,64.92,96,50,0.87,scattered clouds,0.0,0.0
28,Port Hardy,CA,50.7,-127.42,62.6,63,40,19.46,scattered clouds,0.0,0.0
29,Ushuaia,AR,-54.8,-68.3,35.6,64,20,18.34,few clouds,0.0,0.0
30,Vostok,RU,46.49,135.88,54.45,94,100,4.07,overcast clouds,0.0,0.0
31,Sembe,CG,1.65,14.58,70.34,91,97,1.61,overcast clouds,0.0,0.0
32,Bambous Virieux,MU,-20.34,57.76,72.0,83,20,10.29,few clouds,0.0,0.0
33,Severo-Kurilsk,RU,50.68,156.12,54.3,56,95,9.37,overcast clouds,0.0,0.0
34,Katsuura,JP,35.13,140.3,73.4,94,90,11.41,heavy intensity shower rain,0.0,0.0
35,Tasiilaq,GL,65.61,-37.64,42.8,87,99,1.12,overcast clouds,0.0,0.0
36,Coihaique,CL,-45.58,-72.07,32.0,92,75,4.7,broken clouds,0.0,0.0
37,Akusha,RU,42.27,47.34,60.8,67,91,6.71,overcast clouds,0.0,0.0
38,New Norfolk,AU,-42.78,147.06,39.99,93,15,2.98,few clouds,0.0,0.0
39,Salalah,OM,17.02,54.09,82.4,94,75,5.82,broken clouds,0.0,0.0
40,Amarante Do Maranhao,BR,-5.57,-46.74,74.79,62,0,2.95,clear sky,0.0,0.0
41,Vardo,NO,70.37,31.11,44.69,86,96,14.05,overcast clouds,0.0,0.0
42,Manado,ID,1.49,124.85,80.6,83,20,2.24,few clouds,0.0,0.0
43,Dingle,PH,11.0,122.67,78.26,87,100,3.44,light rain,0.3,0.0
44,Puerto Escondido,MX,15.85,-97.07,86.0,70,75,12.75,broken clouds,0.0,0.0
45,Khatanga,RU,71.97,102.5,72.28,45,96,1.72,overcast clouds,0.0,0.0
46,Tabou,CI,4.42,-7.35,75.85,83,80,10.25,broken clouds,0.0,0.0
47,Arraial Do Cabo,BR,-22.97,-42.03,69.71,86,48,13.56,scattered clouds,0.0,0.0
48,Poum,NC,-20.23,164.02,71.04,62,5,6.46,clear sky,0.0,0.0
49,Provideniya,RU,64.38,-173.3,41.16,66,76,18.01,broken clouds,0.0,0.0
50,Hilo,US,19.73,-155.09,84.2,62,20,10.29,few clouds,0.0,0.0
51,Quesnel,CA,53.0,-122.5,59.0,67,75,5.82,broken clouds,0.0,0.0
52,Vaini,TO,-21.2,-175.2,78.8,83,75,9.17,broken clouds,0.0,0.0
53,Lata,PT,40.16,-8.33,64.99,91,18,3.0,few clouds,0.0,0.0
54,Kapaa,US,22.08,-159.32,84.2,66,1,14.99,clear sky,0.0,0.0
55,Berlevag,NO,70.86,29.09,44.22,86,100,15.99,overcast clouds,0.0,0.0
56,Yichun,CN,47.7,128.9,59.76,99,100,0.63,moderate rain,1.42,0.0
57,Hamilton,US,39.18,-84.53,78.01,83,90,6.93,haze,0.0,0.0
58,Qaqortoq,GL,60.72,-46.03,50.0,61,49,11.41,scattered clouds,0.0,0.0
59,Asilah,MA,35.47,-6.03,66.2,88,63,1.12,broken clouds,0.0,0.0
60,Portland,US,45.52,-122.68,70.0,52,40,14.99,scattered clouds,0.0,0.0
61,Bathsheba,BB,13.22,-59.52,82.4,78,40,19.46,scattered clouds,0.0,0.0
62,Aklavik,CA,68.22,-135.01,55.4,43,75,8.05,broken clouds,0.0,0.0
63,Punta Arenas,CL,-53.15,-70.92,32.0,89,0,6.93,clear sky,0.0,0.0
64,Todos Santos,MX,23.45,-110.22,81.0,69,90,3.0,overcast clouds,0.0,0.0
65,San Cristobal,VE,7.77,-72.22,86.0,62,40,9.17,scattered clouds,0.0,0.0
66,Kavieng,PG,-2.57,150.8,84.13,75,79,13.0,light rain,0.16,0.0
67,Tiksi,RU,71.69,128.87,47.43,80,75,14.61,broken clouds,0.0,0.0
68,Kodiak,US,57.79,-152.41,53.6,62,75,4.7,broken clouds,0.0,0.0
69,Price,US,39.6,-110.81,91.4,13,1,11.41,clear sky,0.0,0.0
70,Barrow,US,71.29,-156.79,60.8,44,1,16.11,clear sky,0.0,0.0
71,Ahipara,NZ,-35.17,173.17,58.98,64,5,16.26,clear sky,0.0,0.0
72,Antsohihy,MG,-14.88,47.99,66.45,79,0,4.97,clear sky,0.0,0.0
73,Gondanglegi,ID,-7.75,112.01,75.45,83,29,8.55,scattered clouds,0.0,0.0
74,Qaanaaq,GL,77.48,-69.36,40.78,70,0,0.49,clear sky,0.0,0.0
75,Pervomayskiy,RU,53.25,40.29,62.53,94,26,7.9,light rain,0.35,0.0
76,Port-Gentil,GA,-0.72,8.78,73.4,94,40,4.7,scattered clouds,0.0,0.0
77,Victoria,HK,22.29,114.16,84.99,79,97,8.39,overcast clouds,0.0,0.0
78,Iqaluit,CA,63.75,-68.51,39.2,86,20,8.05,few clouds,0.0,0.0
79,Faanui,PF,-16.48,-151.75,77.14,74,63,15.57,broken clouds,0.0,0.0
80,Mar Del Plata,AR,-38.0,-57.56,43.0,93,94,3.36,overcast clouds,0.0,0.0
81,Busselton,AU,-33.65,115.33,60.01,82,80,18.52,light rain,0.16,0.0
82,Tautira,PF,-17.73,-149.15,84.2,62,20,3.36,few clouds,0.0,0.0
83,Torbay,CA,47.67,-52.73,55.0,100,90,2.24,light intensity shower rain,0.57,0.0
84,Callaguip,PH,18.07,120.49,80.6,88,75,2.28,broken clouds,0.0,0.0
85,Kurmanayevka,RU,52.51,52.07,63.07,88,50,15.21,scattered clouds,0.0,0.0
86,Osorno,CL,-40.57,-73.15,44.6,100,99,1.12,overcast clouds,0.0,0.0
87,Lunenburg,CA,44.38,-64.32,69.01,81,99,11.18,overcast clouds,0.0,0.0
88,Kysyl-Syr,RU,63.9,122.76,75.79,49,85,2.95,overcast clouds,0.0,0.0
89,Koslan,RU,63.46,48.9,43.95,95,83,6.62,broken clouds,0.0,0.0
90,Hithadhoo,MV,-0.6,73.08,84.24,72,55,7.76,broken clouds,0.0,0.0
91,Ust-Omchug,RU,61.15,149.63,67.66,55,56,1.83,light rain,0.77,0.0
92,Ballitoville,ZA,-29.54,31.21,51.8,87,0,5.82,clear sky,0.0,0.0
93,San Quintin,MX,30.48,-115.95,68.76,71,3,11.77,clear sky,0.0,0.0
94,Port Elizabeth,ZA,-33.92,25.57,57.2,76,75,31.09,light rain,0.0,0.0
95,Sao Filipe,CV,14.9,-24.5,74.61,82,0,11.36,clear sky,0.0,0.0
96,Roald,NO,62.58,6.13,71.6,60,51,4.7,broken clouds,0.0,0.0
97,Jamestown,US,42.1,-79.24,75.0,73,75,14.99,broken clouds,0.0,0.0
98,Shatrovo,RU,56.52,64.63,44.15,86,2,7.58,clear sky,0.0,0.0
99,Hof,DE,50.32,11.92,63.0,93,15,3.0,few clouds,0.0,0.0
100,Mehamn,NO,71.04,27.85,43.84,86,97,15.19,overcast clouds,0.0,0.0
101,Davila,PH,18.47,120.58,80.6,88,75,4.07,broken clouds,0.0,0.0
102,Tromso,NO,69.65,18.96,44.6,87,20,10.29,few clouds,0.0,0.0
103,Lagoa,PT,39.05,-27.98,66.52,96,79,12.64,broken clouds,0.0,0.0
104,Lompoc,US,34.64,-120.46,71.01,64,10,13.87,clear sky,0.0,0.0
105,Chibuto,MZ,-24.69,33.53,60.62,46,0,7.27,clear sky,0.0,0.0
106,Yarkovo,RU,57.4,67.08,44.94,87,11,2.37,few clouds,0.0,0.0
107,Tuatapere,NZ,-46.13,167.68,47.62,88,100,4.29,light rain,0.43,0.0
108,Ratnagiri,IN,16.98,73.3,81.48,81,100,1.5,light rain,0.19,0.0
109,Hermanus,ZA,-34.42,19.23,53.01,89,47,4.0,light rain,0.11,0.0
110,Bethel,US,41.37,-73.41,75.2,73,1,5.82,light rain,0.25,0.0
111,Saint-Pierre,RE,-21.34,55.48,69.8,77,40,5.82,scattered clouds,0.0,0.0
112,Cabo San Lucas,MX,22.89,-109.91,89.6,49,75,11.41,broken clouds,0.0,0.0
113,Lukovetskiy,RU,64.3,41.92,46.4,87,75,6.71,broken clouds,0.0,0.0
114,Canutama,BR,-6.53,-64.38,79.75,69,95,2.33,overcast clouds,0.0,0.0
115,Luganville,VU,-15.53,167.17,78.8,88,90,9.17,overcast clouds,0.0,0.0
116,Geraldton,AU,-28.77,114.6,62.6,88,75,10.29,broken clouds,0.0,0.0
117,Vila Velha,BR,-20.33,-40.29,77.0,69,5,11.41,clear sky,0.0,0.0
118,East London,ZA,-33.02,27.91,63.86,48,36,16.51,scattered clouds,0.0,0.0
119,Hervey Bay,AU,-25.3,152.85,69.01,72,75,12.75,broken clouds,0.0,0.0
120,Skelleftea,SE,64.75,20.95,59.0,62,27,10.29,scattered clouds,0.0,0.0
121,Ranong,TH,9.97,98.63,77.0,94,75,5.35,broken clouds,0.0,0.0
122,Butaritari,KI,3.07,172.79,82.94,74,31,14.97,scattered clouds,0.0,0.0
123,Colon,PA,9.36,-79.9,81.0,83,100,3.0,overcast clouds,0.0,0.0
124,Esperance,AU,-33.87,121.9,55.4,54,90,16.11,overcast clouds,0.0,0.0
125,Sulangan,PH,11.14,123.72,83.3,73,100,4.92,light rain,0.13,0.0
126,Luderitz,NA,-26.65,15.16,57.2,67,0,12.75,clear sky,0.0,0.0
127,Chase,CA,50.82,-119.69,62.01,77,95,1.88,moderate rain,1.35,0.0
