,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
3,Vieste,IT,few clouds,75.0,41.88,16.18,Hotel Falcone
9,Atuona,PF,scattered clouds,80.44,-9.8,-139.03,Villa Enata
11,Kahului,US,few clouds,87.8,20.89,-156.47,Maui Seaside Hotel
15,Rikitea,PF,clear sky,70.25,-23.12,-134.97,Pension Maro'i
19,Puerto Ayora,EC,broken clouds,71.01,-0.74,-90.35,Finch Bay Galapagos Hotel
22,Gat,IL,clear sky,72.0,31.61,34.76,רגע בנחת
23,Yellowknife,CA,broken clouds,72.0,62.46,-114.35,The Explorer Hotel
24,Rancho Palos Verdes,US,few clouds,73.0,33.74,-118.39,Terranea Resort
26,Ponta Do Sol,PT,few clouds,71.6,32.67,-17.1,Hotel do Campo
31,Sembe,CG,overcast clouds,70.34,1.65,14.58,
32,Bambous Virieux,MU,few clouds,72.0,-20.34,57.76,Casa Tia Villa
34,Katsuura,JP,heavy intensity shower rain,73.4,35.13,140.3,Katsuura Hilltop Hotel & Residence
39,Salalah,OM,broken clouds,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
40,Amarante Do Maranhao,BR,clear sky,74.79,-5.57,-46.74,Hotéis Caçulinha
42,Manado,ID,few clouds,80.6,1.49,124.85,Aryaduta Hotel
44,Puerto Escondido,MX,broken clouds,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
45,Khatanga,RU,overcast clouds,72.28,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
46,Tabou,CI,broken clouds,75.85,4.42,-7.35,hotêl doufoulougou
48,Poum,NC,clear sky,71.04,-20.23,164.02,Gîte kajeon
50,Hilo,US,few clouds,84.2,19.73,-155.09,Hilo Hawaiian Hotel
52,Vaini,TO,broken clouds,78.8,-21.2,-175.2,Keleti Beach Resort
54,Kapaa,US,clear sky,84.2,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
57,Hamilton,US,haze,78.01,39.18,-84.53,Six Acres Bed & Breakfast
60,Portland,US,scattered clouds,70.0,45.52,-122.68,Portland Marriott City Center
61,Bathsheba,BB,scattered clouds,82.4,13.22,-59.52,Atlantis Hotel
64,Todos Santos,MX,overcast clouds,81.0,23.45,-110.22,Hotel California Todos Santos
65,San Cristobal,VE,scattered clouds,86.0,7.77,-72.22,Pirineos
69,Price,US,clear sky,91.4,39.6,-110.81,National 9 - Price River Inn
73,Gondanglegi,ID,scattered clouds,75.45,-7.75,112.01,Gg. Munasir Homestay
76,Port-Gentil,GA,scattered clouds,73.4,-0.72,8.78,Fengshui Residence
77,Victoria,HK,overcast clouds,84.99,22.29,114.16,Mini Hotel Central
79,Faanui,PF,broken clouds,77.14,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Tautira,PF,few clouds,84.2,-17.73,-149.15,Pension Oaoa
84,Callaguip,PH,broken clouds,80.6,18.07,120.49,Pangil Beach Resort
88,Kysyl-Syr,RU,overcast clouds,75.79,63.9,122.76,
90,Hithadhoo,MV,broken clouds,84.24,-0.6,73.08,Scoop Guest House
95,Sao Filipe,CV,clear sky,74.61,14.9,-24.5,Tortuga B&B
96,Roald,NO,broken clouds,71.6,62.58,6.13,Flem Cabins
97,Jamestown,US,broken clouds,75.0,42.1,-79.24,Hampton Inn & Suites Jamestown
101,Davila,PH,broken clouds,80.6,18.47,120.58,SITIO 3 DAVILA PASUQUIN
104,Lompoc,US,clear sky,71.01,34.64,-120.46,Holiday Inn Express Lompoc
112,Cabo San Lucas,MX,broken clouds,89.6,22.89,-109.91,Hotel Tesoro Los Cabos
